(0.23354564607143402, 0.4580645263195038)
(0.23354564607143402, 0.5258064270019531)
(0.25053077936172485, 0.5806451439857483)
(0.2696390748023987, 0.6354838609695435)
(0.2887473404407501, 0.6903225779533386)
(0.3418259024620056, 0.7322580814361572)
(0.3779193162918091, 0.774193525314331)
(0.4309978783130646, 0.801612913608551)
(0.4883227050304413, 0.8145161271095276)
(0.5605095624923706, 0.8145161271095276)
(0.6305732727050781, 0.774193525314331)
(0.6857749223709106, 0.7322580814361572)
(0.7218683362007141, 0.6903225779533386)
(0.7579618096351624, 0.6225806474685669)
(0.7600849270820618, 0.5677419304847717)
(0.7770700454711914, 0.5129032135009766)
(0.7770700454711914, 0.4564516246318817)
(0.25053077936172485, 0.4161290228366852)
(0.2866241931915283, 0.3887096643447876)
(0.3418259024620056, 0.3887096643447876)
(0.3949044644832611, 0.3887096643447876)
(0.450106143951416, 0.4032258093357086)
(0.5244161486625671, 0.4032258093357086)
(0.5774946808815002, 0.3887096643447876)
(0.6496815085411072, 0.3887096643447876)
(0.7027601003646851, 0.3887096643447876)
(0.7409766316413879, 0.4032258093357086)
(0.48619958758354187, 0.4564516246318817)
(0.48619958758354187, 0.49838709831237793)
(0.4883227050304413, 0.5387097001075745)
(0.4883227050304413, 0.5806451439857483)
(0.4331210255622864, 0.6080645322799683)
(0.46709129214286804, 0.6096774339675903)
(0.4883227050304413, 0.6225806474685669)
(0.5244161486625671, 0.6096774339675903)
(0.5605095624923706, 0.6080645322799683)
(0.30573248863220215, 0.47096773982048035)
(0.3418259024620056, 0.4564516246318817)
(0.3779193162918091, 0.4564516246318817)
(0.41401273012161255, 0.47096773982048035)
(0.3779193162918091, 0.47096773982048035)
(0.3418259024620056, 0.47096773982048035)
(0.5774946808815002, 0.4580645263195038)
(0.6135880947113037, 0.44354838132858276)
(0.6496815085411072, 0.44354838132858276)
(0.6857749223709106, 0.4564516246318817)
(0.6496815085411072, 0.47096773982048035)
(0.6135880947113037, 0.47096773982048035)
(0.3800424635410309, 0.6903225779533386)
(0.41613587737083435, 0.6774193644523621)
(0.46709129214286804, 0.6629032492637634)
(0.4883227050304413, 0.6645161509513855)
(0.522292971611023, 0.6629032492637634)
(0.5605095624923706, 0.6774193644523621)
(0.6135880947113037, 0.6919354796409607)
(0.5605095624923706, 0.7193548679351807)
(0.5244161486625671, 0.7322580814361572)
(0.4883227050304413, 0.7322580814361572)
(0.46709129214286804, 0.7322580814361572)
(0.41613587737083435, 0.7193548679351807)
(0.3970276117324829, 0.6903225779533386)
(0.46709129214286804, 0.6903225779533386)
(0.4883227050304413, 0.6919354796409607)
(0.522292971611023, 0.6919354796409607)
(0.5774946808815002, 0.6919354796409607)
(0.522292971611023, 0.6919354796409607)
(0.4883227050304413, 0.6919354796409607)
(0.46921443939208984, 0.6919354796409607)
(0.36093416810035706, 0.4580645263195038)
(0.6326963901519775, 0.4564516246318817)
